,Unnamed: 0,name,nba_career_length,Games,Points,Rebounds,Assists,FGP,FTP,EFGP,best_year,TFGP,WS,url,allstar
1569,1569,Dennis Scott,10.0,99.0,21.4,5.3,2.9,45.2,77.7,55.9,6.0,42.2,,scottde01.html,False
1570,1570,Shawnelle Scott,4.0,113.0,10.5,6.5,0.8,53.7,56.2,53.7,4.0,0.0,,scottsh01.html,False
1571,1571,Carey Scurry,3.0,79.0,17.9,12.8,2.6,53.8,70.9,,1.0,,,scurrca01.html,False
1572,1572,Bruce Seals,5.0,56.0,11.4,3.5,1.2,37.0,82.2,46.4,1.0,32.5,3.4,sealsbr01.html,False
1573,1573,Malik Sealy,8.0,127.0,18.9,6.9,1.8,49.4,71.2,50.5,5.0,24.7,,sealyma01.html,False
1574,1574,Rony Seikaly,11.0,136.0,12.6,8.0,0.6,56.0,57.6,,2.0,,,seikaro01.html,False
1575,1575,Ansu Sesay,4.0,110.0,13.0,6.4,2.1,42.8,72.4,45.4,3.0,26.8,,sesayan01.html,False
1576,1576,Ramon Sessions,11.0,97.0,8.8,4.2,4.9,41.7,74.0,43.4,3.0,31.3,7.2,sessira01.html,False
1577,1577,Tom Sewell,1.0,89.0,16.8,3.5,2.0,52.9,77.8,,1.0,,,sewelto01.html,False
1578,1578,Charles Shackleford,6.0,94.0,13.7,7.8,0.9,51.1,56.8,,2.0,,,shackch01.html,False
1579,1579,Mustafa Shakur,2.0,131.0,10.1,3.7,5.1,45.2,78.6,50.2,1.0,35.5,11.4,shakumu01.html,False
1580,1580,God Shammgod,1.0,65.0,10.3,2.0,6.6,39.3,67.6,42.2,1.0,20.8,4.6,shammgo01.html,False
1581,1581,John Shasky,3.0,112.0,9.6,5.3,0.7,53.0,65.5,,1.0,,,shaskjo01.html,False
1582,1582,Brian Shaw,14.0,100.0,10.1,6.4,5.4,43.4,72.8,,2.0,,,shawbr01.html,False
1583,1583,Craig Shelton,2.0,93.0,15.2,7.4,,59.1,75.1,,1.0,,,sheltcr01.html,False
1584,1584,Lonnie Shelton,10.0,80.0,16.2,8.4,2.7,54.0,69.2,,2.0,,,sheltlo01.html,True
1585,1585,Steve Sheppard,2.0,76.0,16.0,7.7,1.3,53.0,72.0,,1.0,,,sheppst01.html,False
1586,1586,Paul Shirley,3.0,109.0,7.5,5.1,0.6,55.4,68.4,55.5,2.0,50.0,9.7,shirlpa01.html,False
1587,1587,Purvis Short,12.0,22.0,29.5,11.4,,53.3,72.1,,7.0,,,shortpu01.html,False
1588,1588,John Shumate,5.0,59.0,22.6,11.6,,60.9,68.8,,2.0,,,shumajo01.html,False
1589,1589,Mark Sibley,1.0,71.0,15.7,5.1,2.7,42.7,80.6,,1.0,,,siblema01.html,False
1590,1590,Jerry Sichting,10.0,111.0,10.5,2.2,3.5,52.0,86.7,,4.0,,,sichtje01.html,False
1591,1591,Paul Silas,16.0,81.0,20.5,21.6,,40.6,58.9,,3.0,,,silaspa01.html,True
1592,1592,Wayne Simien,2.0,106.0,15.0,8.3,0.9,55.8,78.4,56.1,1.0,24.0,17.6,simiewa01.html,False
1593,1593,Bobby Simmons,10.0,93.0,13.6,7.5,2.2,42.8,78.3,49.3,5.0,33.1,11.1,simmobo01.html,False
1594,1594,Cedric Simmons,3.0,63.0,7.7,4.1,1.1,56.5,65.2,56.8,1.0,50.0,5.9,simmoce01.html,False
